submission_id,submission_date,gender,age,geography,financial_situation,education,employment_status,submission_state,are_there_children_0_to_2_yrs_out_of_educational_system,were_children_3_to_17_yrs_enrolled_and_did_not_return_to_school,are_there_children_who_stopped_enrolling_in_primary_education,are_there_children_who_stopped_enrolling_in_secondary_education,are_children_attending_face_to_face_classes,can_children_observe_deterioration_of_basic_services_of_school,do_children_3_and_17_yrs_receive_regular_school_meals,are_there_teachers_at_scheduled_class_hours,are_children_3_to_17_yrs_dealing_with_irregular_school_activity,are_children_being_teached_by_unqualified_people,did_teachers_leave_the_educational_system,do_school_and_the_teachers_have_internet_connection,do_children_have_internet_connection,do_children_3_to_17_yrs_miss_virtual_class_due_to_lack_of_electricity,does_home_shows_severe_deficit_of_electricity,does_home_shows_severe_deficit_of_internet,do_children_3_to_17_yrs_miss_class_or_in_lower_grade,are_children_promoted_with_a_modality_different_from_formal_evaluation
4570534489882624,2021-03-17,Female,Over 45 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",University or college degree completed,I am unemployed,Miranda,0,1,1,0,0,1,Every day,Irregularly,0,0,0,1,1,0,0,0,0,0
6440166989496320,2021-03-29,Male,26 to 35 years old,Suburban/Peri-urban,I cannot afford enough food for my family,University or college degree completed,I am unemployed,Miranda,0,1,0,0,0,1,No,Irregularly,1,0,1,0,1,1,0,0,0,0
5001167808757760,2021-03-18,Female,26 to 35 years old,City center or metropolitan area,"I can comfortably afford food, clothes, and furniture, and I have savings",University or college degree completed,"I work full-time, either as an employee or self-employed",Miranda,1,1,1,1,0,1,No,There are not enough,1,1,1,0,1,0,1,0,0,1
5524933164924928,2021-03-24,Male,36 to 45 years old,Suburban/Peri-urban,"I can afford food, but nothing else",University or college degree completed,"I work full-time, either as an employee or self-employed",Miranda,0,0,0,0,0,1,No,There are enough,1,1,1,0,1,0,0,0,0,0
5032515751641088,2021-03-18,Female,Over 45 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",University or college degree completed,I am unemployed,Miranda,0,1,0,0,0,1,No,There are not enough,1,0,1,0,1,1,0,0,0,1
5856891153678336,2021-03-15,Female,36 to 45 years old,City center or metropolitan area,"I can comfortably afford food, clothes, and furniture, but I don’t have savings",Technical school diploma or degree completed,"I work full-time, either as an employee or self-employed",Miranda,0,0,1,1,0,0,2 days,Irregularly,0,1,1,1,0,0,0,0,0,1
4994446973468672,2021-03-31,Female,26 to 35 years old,Rural,"I can afford food and regular expenses, but nothing else",University or college degree completed,"I do housework, fulfilling domestic tasks, looking after children",Miranda,0,1,0,0,0,1,Every day,There are not enough,1,0,0,1,1,0,0,0,0,0
6295201927921664,2021-03-14,Female,Over 45 years old,Suburban/Peri-urban,I cannot afford enough food for my family,Technical school diploma or degree completed,"I work part-time, either as an employee or self-employed",Miranda,0,0,0,0,0,1,No,There are not enough,1,0,1,0,0,1,0,0,0,0
6354348190990336,2021-03-23,Female,Over 45 years old,Rural,I cannot afford enough food for my family,University or college degree completed,I am retired,Miranda,0,0,0,0,0,1,No,Irregularly,0,1,1,1,0,1,0,0,0,1
5852928190709760,2021-03-30,Male,26 to 35 years old,City center or metropolitan area,I cannot afford enough food for my family,University or college degree completed,"I work part-time, either as an employee or self-employed",Sucre,1,1,0,0,0,1,2 days,There are enough,0,0,0,1,1,0,1,0,0,0
4861050741850112,2021-03-16,Prefer not to answer,16 to 25 years old,Suburban/Peri-urban,I cannot afford enough food for my family,Some technical education (e.g polytechnic school),I am unemployed,Distrito Federal,1,1,1,1,1,0,No,There are not enough,1,1,1,1,1,0,0,0,1,0
6109510828818432,2021-03-14,Female,Over 45 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",University or college degree completed,I am unemployed,Distrito Federal,0,0,0,0,0,1,No,Irregularly,1,0,1,0,0,0,0,0,1,0
6142303541657600,2021-02-07,Female,Over 45 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",University or college degree completed,"I work full-time, either as an employee or self-employed",Distrito Federal,0,1,0,0,0,1,No,There are enough,0,0,1,1,1,0,0,0,0,0
4828872444215296,2021-03-15,Male,26 to 35 years old,City center or metropolitan area,"I can afford food, regular expenses, and clothes, but nothing else",University or college degree completed,"I work full-time, either as an employee or self-employed",Táchira,0,0,0,0,0,1,No,Irregularly,0,0,0,0,1,1,1,0,0,0
5241154944892928,2021-03-18,Male,36 to 45 years old,Suburban/Peri-urban,I cannot afford enough food for my family,University or college degree completed,I am unemployed,Táchira,0,0,0,0,0,0,No,Irregularly,1,0,0,0,0,0,0,0,0,0
5281556880162816,2021-04-07,Female,16 to 25 years old,Suburban/Peri-urban,I cannot afford enough food for my family,Some university or college,"I do housework, fulfilling domestic tasks, looking after children",Mérida,1,1,0,0,0,1,No,Irregularly,1,1,1,0,1,1,0,0,1,1
6154893936295936,2021-03-17,Female,36 to 45 years old,Rural,I cannot afford enough food for my family,University or college degree completed,I am unemployed,Mérida,1,0,0,0,0,1,No,There are not enough,1,0,1,0,1,1,0,0,0,1
6084403976732672,2021-03-29,Male,26 to 35 years old,City center or metropolitan area,I cannot afford enough food for my family,Secondary school/ high school completed,"I work part-time, either as an employee or self-employed",Mérida,0,0,0,0,0,1,4 days,There are enough,1,1,0,1,1,0,0,0,0,1
6728207176040448,2021-03-21,Female,26 to 35 years old,Suburban/Peri-urban,"I can afford food, but nothing else",Secondary school/ high school completed,I am a student and I work part-time,Mérida,0,1,0,0,0,1,No,Irregularly,1,0,0,0,1,1,0,0,0,1
5747543400251392,2021-03-13,Female,16 to 25 years old,Rural,"I can afford food, regular expenses, and clothes, but nothing else",Primary school completed,I am a student,Mérida,0,0,0,0,0,1,No,There are not enough,1,0,1,1,0,1,0,0,0,0
5306240006881280,2021-03-13,Male,36 to 45 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",University or college degree completed,"I work part-time, either as an employee or self-employed",Mérida,0,0,0,0,0,1,No,There are enough,1,0,1,1,1,1,0,0,0,0
5873682026332160,2021-03-13,Female,Over 45 years old,Rural,"I can afford food and regular expenses, but nothing else",Technical school diploma or degree completed,"I work part-time, either as an employee or self-employed",Mérida,0,1,0,0,0,0,No,Irregularly,1,0,1,0,1,1,0,0,0,0
4603150085652480,2021-03-28,Male,16 to 25 years old,Rural,I cannot afford enough food for my family,Primary school completed,I am a student,Carabobo,0,0,0,0,1,0,No,Irregularly,0,0,1,0,1,1,1,0,1,0
5609529055379456,2021-03-13,Male,36 to 45 years old,City center or metropolitan area,"I can afford food, regular expenses, and clothes, but nothing else",Secondary school/ high school completed,"I work part-time, either as an employee or self-employed",Distrito Federal,0,1,0,0,0,1,No,Irregularly,1,0,1,0,1,0,0,0,0,1
5588256686342144,2021-03-14,Female,16 to 25 years old,Rural,I cannot afford enough food for my family,Secondary school/ high school completed,I am unemployed,Distrito Federal,0,1,1,0,0,0,No,There are not enough,0,0,0,0,0,0,0,0,0,0
5497174669656064,2021-06-10,Female,26 to 35 years old,City center or metropolitan area,I cannot afford enough food for my family,University or college degree completed,"I work part-time, either as an employee or self-employed",Distrito Federal,0,0,0,1,0,1,No,There are not enough,1,0,0,1,0,1,0,0,1,0
4708750463336448,2021-03-13,Male,26 to 35 years old,City center or metropolitan area,"I can afford food, regular expenses, and clothes, but nothing else",Some university or college,"I work full-time, either as an employee or self-employed",Distrito Federal,0,1,0,0,0,0,No,There are enough,0,0,0,1,1,0,0,0,0,0
5160952940199936,2021-03-13,Female,16 to 25 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",University or college degree completed,"I work full-time, either as an employee or self-employed",Distrito Federal,0,0,0,0,0,0,No,Irregularly,1,0,0,0,1,0,0,0,0,1
4603876622991360,2021-03-13,Female,36 to 45 years old,Rural,"I can afford food and regular expenses, but nothing else",Technical school diploma or degree completed,"I work part-time, either as an employee or self-employed",Distrito Federal,0,1,0,0,0,1,No,There are enough,1,0,0,0,1,0,0,0,0,1
4986462159503360,2021-03-22,Female,16 to 25 years old,Suburban/Peri-urban,"I can afford food, but nothing else",Technical school diploma or degree completed,"I do housework, fulfilling domestic tasks, looking after children",Distrito Federal,0,0,0,0,0,1,No,Irregularly,0,0,0,0,1,0,0,0,0,0
4628459472289792,2021-03-16,Female,36 to 45 years old,City center or metropolitan area,"I can afford food, but nothing else",University or college degree completed,"I work part-time, either as an employee or self-employed",Distrito Federal,1,1,0,0,0,1,No,Irregularly,0,0,1,0,0,0,0,0,0,0
5856863337054208,2021-03-13,Female,26 to 35 years old,City center or metropolitan area,I cannot afford enough food for my family,Secondary school/ high school completed,None of the above,Distrito Federal,0,0,0,0,1,1,No,There are enough,0,0,0,1,1,0,0,0,0,0
6328894134419456,2021-03-28,Female,36 to 45 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",University or college degree completed,"I work full-time, either as an employee or self-employed",Distrito Federal,0,0,0,0,1,0,No,There are enough,0,0,0,1,1,0,0,0,0,0
6245696591364096,2021-03-14,Female,Over 45 years old,Rural,"I can afford food, but nothing else",Some primary education,"I do housework, fulfilling domestic tasks, looking after children",Distrito Federal,0,1,1,1,0,0,No,There are enough,1,0,0,1,1,0,0,0,0,0
5997476137140224,2021-03-13,Female,26 to 35 years old,City center or metropolitan area,I cannot afford enough food for my family,Technical school diploma or degree completed,I am a student and I work part-time,Distrito Federal,0,1,0,0,0,1,No,Irregularly,1,0,1,0,1,1,0,0,1,0
6194310663110656,2021-03-13,Female,16 to 25 years old,Rural,"I can afford food, but nothing else",Technical school diploma or degree completed,"I work full-time, either as an employee or self-employed",Distrito Federal,0,1,0,0,1,0,2 days,There are enough,0,0,1,1,1,1,0,0,0,0
4791643332149248,2021-03-13,Male,16 to 25 years old,Suburban/Peri-urban,"I can afford food, regular expenses, and clothes, but nothing else",Technical school diploma or degree completed,"I work full-time, either as an employee or self-employed",Distrito Federal,1,1,0,0,0,1,No,Irregularly,1,0,1,1,1,0,0,0,0,0
5970206248927232,2021-04-03,Male,36 to 45 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",University or college degree completed,"I work part-time, either as an employee or self-employed",Distrito Federal,0,1,0,1,0,1,Every day,There are not enough,1,0,1,0,1,1,0,0,0,1
5172583040548864,2021-03-19,Male,26 to 35 years old,Rural,I cannot afford enough food for my family,University or college degree completed,I am a student and I work part-time,Distrito Federal,1,0,0,0,1,0,1 day,Irregularly,0,1,0,1,1,1,0,0,0,1
5327166563942400,2021-03-24,Female,26 to 35 years old,Suburban/Peri-urban,"I can afford food, but nothing else",Some secondary school / high school,"I do housework, fulfilling domestic tasks, looking after children",Distrito Federal,1,1,0,0,1,1,No,There are enough,0,1,0,1,1,0,0,0,0,0
5166632766013440,2021-03-29,Male,16 to 25 years old,Suburban/Peri-urban,I cannot afford enough food for my family,Secondary school/ high school completed,I am a student,Distrito Federal,0,1,0,1,0,1,No,Irregularly,1,1,0,0,0,0,0,0,0,0
5250121561538560,2021-03-14,Male,Over 45 years old,City center or metropolitan area,"I can afford food, but nothing else",Secondary school/ high school completed,"I work part-time, either as an employee or self-employed",Distrito Federal,0,1,0,0,0,1,No,Irregularly,1,1,1,1,1,0,0,0,0,1
6245335747002368,2021-03-15,Female,26 to 35 years old,Rural,I cannot afford enough food for my family,Secondary school/ high school completed,I am a student,Distrito Federal,1,1,1,0,0,1,No,There are not enough,1,0,1,0,0,1,0,0,0,1
5175651324919808,2021-03-14,Male,16 to 25 years old,City center or metropolitan area,I cannot afford enough food for my family,Secondary school/ high school completed,I am a student,Distrito Federal,0,1,0,0,1,1,No,Irregularly,1,0,1,1,0,1,0,0,0,1
5417239141679104,2021-03-15,Male,26 to 35 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",Some technical education (e.g polytechnic school),I am a student,Distrito Federal,0,0,0,0,0,1,4 days,Irregularly,0,0,1,0,1,1,0,0,1,1
6276976536190976,2021-03-17,Male,16 to 25 years old,Suburban/Peri-urban,"I can comfortably afford food, clothes, and furniture, and I have savings",Some secondary school / high school,I am a student,Distrito Federal,1,0,0,0,0,1,2 days,There are not enough,0,1,1,0,0,1,0,0,0,1
4690058497228800,2021-03-19,Female,26 to 35 years old,Suburban/Peri-urban,"I can afford food, but nothing else",Technical school diploma or degree completed,I am unemployed,Distrito Federal,0,1,0,1,0,1,2 days,Irregularly,1,1,0,0,0,0,1,0,0,1
5000415770050560,2021-04-01,Male,16 to 25 years old,Suburban/Peri-urban,"I can afford food, but nothing else",Secondary school/ high school completed,None of the above,Distrito Federal,0,0,0,0,0,0,No,There are not enough,1,0,0,0,1,1,0,0,0,0
4708407201497088,2021-03-14,Female,36 to 45 years old,City center or metropolitan area,"I can comfortably afford food, clothes, and furniture, but I don’t have savings",Technical school diploma or degree completed,"I work part-time, either as an employee or self-employed",Distrito Federal,0,0,0,0,0,0,No,There are enough,0,0,0,1,1,0,0,0,0,0
5750851716251648,2021-03-21,Female,16 to 25 years old,Suburban/Peri-urban,Prefer not to answer,University or college degree completed,I am unemployed,Distrito Federal,0,0,0,0,0,0,No,Irregularly,1,0,0,1,1,0,0,0,0,0
6003573648523264,2021-03-18,Female,Over 45 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",University or college degree completed,"I work part-time, either as an employee or self-employed",Distrito Federal,0,1,0,1,0,0,No,Irregularly,1,0,1,1,1,1,0,0,0,0
4965366169337856,2021-03-13,Female,Over 45 years old,Suburban/Peri-urban,"I can afford food, but nothing else",Primary school completed,"I do housework, fulfilling domestic tasks, looking after children",Distrito Federal,1,1,0,0,0,1,No,Irregularly,1,0,1,1,1,1,1,0,0,0
5515801309478912,2021-03-29,Female,Over 45 years old,City center or metropolitan area,"I can afford food, but nothing else",Some secondary school / high school,I am retired,Distrito Federal,0,1,0,0,0,1,No,There are not enough,1,1,1,0,1,1,0,0,0,1
6587523710320640,2021-03-13,Male,26 to 35 years old,Rural,"I can afford food, but nothing else",Secondary school/ high school completed,I am a student and I work part-time,Distrito Federal,0,0,0,0,0,1,No,There are enough,0,0,0,1,1,0,0,0,0,0
4836963558621184,2021-03-13,Female,Over 45 years old,City center or metropolitan area,"I can afford food, but nothing else",University or college degree completed,"I work full-time, either as an employee or self-employed",Distrito Federal,0,1,0,0,1,1,4 days,Irregularly,1,0,1,1,1,0,0,0,0,0
5309641990078464,2021-03-23,Female,Over 45 years old,City center or metropolitan area,"I can afford food, but nothing else",Secondary school/ high school completed,"I do housework, fulfilling domestic tasks, looking after children",Distrito Federal,1,1,1,0,0,1,No,Irregularly,1,0,1,1,1,1,0,0,1,0
6154200550735872,2021-03-23,Female,26 to 35 years old,Rural,I cannot afford enough food for my family,Some university or college,"I work part-time, either as an employee or self-employed",Distrito Federal,0,1,0,0,0,1,No,There are enough,0,0,1,1,1,1,0,0,0,0
4985992816885760,2021-03-14,Female,36 to 45 years old,City center or metropolitan area,"I can afford food, but nothing else",Some secondary school / high school,I am unemployed,Distrito Federal,0,0,0,0,0,0,No,There are not enough,0,0,1,1,0,0,0,0,0,0
5656677713182720,2021-03-28,Female,26 to 35 years old,Suburban/Peri-urban,"I can afford food, regular expenses, and clothes, but nothing else",University or college degree completed,"I work full-time, either as an employee or self-employed",Distrito Federal,0,1,0,0,1,1,No,There are enough,1,0,0,0,1,0,0,0,1,1
4907735761289216,2021-03-14,Male,Over 45 years old,Suburban/Peri-urban,I cannot afford enough food for my family,Some secondary school / high school,"I work part-time, either as an employee or self-employed",Distrito Federal,0,1,1,1,0,1,No,Irregularly,1,0,1,0,0,0,1,0,0,1
4666488723341312,2021-03-15,Female,16 to 25 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",Some technical education (e.g polytechnic school),"I do housework, fulfilling domestic tasks, looking after children",Distrito Federal,0,1,0,0,1,1,No,Irregularly,1,0,1,1,1,0,0,0,0,0
5453935744909312,2021-03-30,Female,16 to 25 years old,City center or metropolitan area,I cannot afford enough food for my family,Some university or college,I am a student,Distrito Federal,1,1,0,0,0,1,No,Irregularly,1,0,1,1,1,0,0,0,0,0
6530212404920320,2021-03-13,Female,26 to 35 years old,Suburban/Peri-urban,Prefer not to answer,Technical school diploma or degree completed,"I work full-time, either as an employee or self-employed",Distrito Federal,1,0,0,0,0,1,No,There are enough,0,0,1,0,0,0,0,0,0,0
4900953806602240,2021-03-13,Female,36 to 45 years old,City center or metropolitan area,"I can afford food, but nothing else",Secondary school/ high school completed,I am unemployed,Distrito Federal,0,0,0,0,0,1,No,There are enough,0,0,0,1,1,0,0,0,0,0
4625432996741120,2021-03-13,Female,36 to 45 years old,City center or metropolitan area,"I can afford food, but nothing else",University or college degree completed,I am unemployed,Distrito Federal,0,1,0,0,0,0,No,Irregularly,0,0,0,1,1,0,0,0,0,0
6396024674582528,2021-03-13,Male,26 to 35 years old,Rural,I cannot afford enough food for my family,University or college degree completed,"I work part-time, either as an employee or self-employed",Distrito Federal,0,0,0,0,0,0,No,Irregularly,0,0,1,1,1,0,0,0,0,0
5398035856359424,2021-03-26,Female,36 to 45 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",University or college degree completed,"I work part-time, either as an employee or self-employed",Distrito Federal,0,1,0,0,1,0,No,Irregularly,1,0,0,1,1,1,0,0,1,1
5209121870839808,2021-03-13,Female,26 to 35 years old,City center or metropolitan area,"I can afford food, but nothing else",Secondary school/ high school completed,I am unemployed,Distrito Federal,1,0,1,0,0,1,No,There are enough,1,1,1,1,1,0,0,0,0,0
6507487514853376,2021-03-20,Female,26 to 35 years old,City center or metropolitan area,"I can afford food, but nothing else",University or college degree completed,"I work full-time, either as an employee or self-employed",Distrito Federal,0,1,0,0,1,1,No,Irregularly,1,0,0,1,0,0,0,0,0,0
4660570191298560,2021-03-13,Female,36 to 45 years old,City center or metropolitan area,"I can afford food, but nothing else",Technical school diploma or degree completed,I am unemployed,Distrito Federal,0,0,0,0,0,1,No,There are enough,0,0,1,1,1,1,0,0,0,0
6312416962150400,2021-03-18,Female,Over 45 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",University or college degree completed,"I work full-time, either as an employee or self-employed",Distrito Federal,1,1,1,0,1,0,No,There are not enough,1,0,1,1,1,1,0,0,1,1
6242814601199616,2021-03-13,Female,26 to 35 years old,City center or metropolitan area,Prefer not to answer,Technical school diploma or degree completed,"I work full-time, either as an employee or self-employed",Distrito Federal,0,1,0,0,1,1,No,There are enough,0,0,0,1,1,0,0,0,0,0
6515884394020864,2021-03-15,Male,36 to 45 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",University or college degree completed,"I work full-time, either as an employee or self-employed",Bolívar,0,0,0,0,0,1,2 days,Irregularly,1,0,1,1,1,1,0,0,0,1
4864673748090880,2021-03-14,Male,26 to 35 years old,Suburban/Peri-urban,I cannot afford enough food for my family,Secondary school/ high school completed,"I work full-time, either as an employee or self-employed",Bolívar,1,0,0,0,0,1,No,Irregularly,1,0,1,1,1,0,0,0,0,1
4981936203497472,2021-03-24,Female,26 to 35 years old,Rural,I cannot afford enough food for my family,Secondary school/ high school completed,I am a student,Bolívar,1,0,0,0,0,0,No,Irregularly,1,1,1,1,1,1,0,0,0,0
6626049013317632,2021-03-26,Female,36 to 45 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",University or college degree completed,"I work part-time, either as an employee or self-employed",Bolívar,0,0,0,0,0,1,No,There are enough,0,0,0,1,1,1,0,0,0,0
5150176649150464,2021-03-20,Male,16 to 25 years old,Suburban/Peri-urban,I cannot afford enough food for my family,Some secondary school / high school,I am a student,Bolívar,0,1,0,1,1,0,3 days,Irregularly,0,0,1,1,1,0,0,0,1,0
4532959666503680,2021-03-13,Female,16 to 25 years old,City center or metropolitan area,"I can afford food, regular expenses, and clothes, but nothing else",Secondary school/ high school completed,I am a student and I work part-time,Bolívar,0,0,0,0,0,1,No,There are enough,0,0,0,1,1,0,0,0,0,0
